Stock,Date,Party,Category,Txntype,Quantity,Value traded,Avgtradeprice
Godrej Consumer Products Ltd,3/28/2019,BNG Family Trust,Insider - Promoter Group,Buy,1,693.0,693.0
Godrej Consumer Products Ltd,3/28/2019,BNG Lineage Trust,Insider - Promoter Group,Buy,1,692.0,692.0
Godrej Consumer Products Ltd,3/28/2019,SGC Family Trust,Insider - Promoter Group,Buy,1,695.0,695.0
Godrej Consumer Products Ltd,3/28/2019,ABG Family Trust,Insider - Promoter Group,Buy,1,693.0,693.0
Godrej Consumer Products Ltd,3/29/2019,RNG Family Trust,Insider - Promoter Group,Buy,1,685.0,685.0
Godrej Consumer Products Ltd,3/28/2019,NJG Family Trust,Insider - Promoter Group,Buy,1,695.0,695.0
Godrej Consumer Products Ltd,3/28/2019,NVC Children Trust,Insider - Promoter Group,Buy,1,695.0,695.0
Godrej Consumer Products Ltd,3/28/2019,RJG Family Trust,Insider - Promoter Group,Buy,1,695.0,695.0
Godrej Consumer Products Ltd,3/28/2019,SNG Lineage Trust,Insider - Promoter Group,Buy,1,692.0,692.0
Godrej Consumer Products Ltd,3/28/2019,JNG Family Trust,Insider - Promoter Group,Buy,1,695.0,695.0
Godrej Consumer Products Ltd,3/28/2019,PG Lineage Trust,Insider - Promoter Group,Buy,1,693.0,693.0
Godrej Consumer Products Ltd,3/28/2019,PJG Family Trust,Insider - Promoter Group,Buy,1,695.0,695.0
Godrej Consumer Products Ltd,3/28/2019,Navroze Lineage Trust,Insider - Promoter Group,Buy,1,695.0,695.0
Godrej Consumer Products Ltd,3/28/2019,Raika Lineage Trust,Insider - Promoter Group,Buy,1,695.0,695.0
Godrej Consumer Products Ltd,3/28/2019,FVC Children Trust,Insider - Promoter Group,Buy,1,695.0,695.0
Godrej Consumer Products Ltd,3/28/2019,SNG Family Trust,Insider - Promoter Group,Buy,1,692.0,692.0
Godrej Consumer Products Ltd,3/28/2019,TAD Children Trust,Insider - Promoter Group,Buy,1,693.0,693.0
Godrej Consumer Products Ltd,3/28/2019,VMC Family Trust,Insider - Promoter Group,Buy,1,695.0,695.0
Shalimar Productions Ltd,6/6/2022,SPARK FINANCE,Bulk,Buy,1,0.0,0.62
Shalimar Productions Ltd,5/27/2022,TOPGAIN FINANCE PRIVATE LIMITED,Bulk,Buy,1,0.0,0.68
SBI Cards and Payment Services Ltd,8/2/2021,Majid Asadullah,Insider - Designated Person,Sell,1,1040.0,1040.0
SBI Cards and Payment Services Ltd,10/26/2020,Amit Kalra,Insider - Designated Person,Sell,1,805.0,805.0
SBI Cards and Payment Services Ltd,11/4/2020,Gopal Prasad Malakar,Insider - Designated Person,Sell,1,815.0,815.0
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,4,10614.0,2653.5
Tech Mahindra Ltd,8/29/2018,Siddharth Dey,Insider - Employee,Sell,1,738.0,738.0
Siti Networks Ltd,11/4/2020,VORA PRITESH PRAVINCHANDRA (HUF),Bulk,Sell,1,0.0,0.55
Siti Networks Ltd,1/6/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,4.0,4.5
Rasoya Proteins Ltd,5/21/2015,BP FINTRADE PRIVATE LIMITED,Bulk,Sell,2,0.0,0.2
Housing Development Finance Corporation Ltd,11/29/2018,RANJEET ANNI SHETTY,Insider - Employee,Sell,2,3856.0,1928.0
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,2,3938.0,1969.0
Housing Development Finance Corporation Ltd,6/26/2018,NEHA TRIPATHI,Insider - Employee,Sell,2,3827.0,1913.5
Housing Development Finance Corporation Ltd,12/7/2018,JAISHANKER T A,Insider - Employee,Sell,2,3800.0,1900.0
ITC Ltd,11/30/2015,Narottam Thanvi,Insider - Employee,Buy,15,36.42,242820.0
Housing Development Finance Corporation Ltd,11/3/2017,Hari Shankar Prasad,Insider - Employee,Sell,2,3559.0,1779.5
Housing Development Finance Corporation Ltd,3/12/2018,Mrinal Sharma,Insider - Employee,Sell,2,3690.0,1845.0
Housing Development Finance Corporation Ltd,12/13/2017,Anjali Maria Vaz,Insider - Employee,Sell,2,3414.0,1707.0
Housing Development Finance Corporation Ltd,3/15/2017,Sudha V,Insider - Employee,Sell,2,2847.0,1423.5
Housing Development Finance Corporation Ltd,3/15/2017,Supriya Bhasin,Insider - Employee,Sell,2,2841.0,1420.5
Housing Development Finance Corporation Ltd,9/28/2016,Rohit Varma,Insider - Employee,Sell,2,2859.0,1429.5
Housing Development Finance Corporation Ltd,2/6/2017,Nehalbhai V Thakker,Insider - Immediate Relative,Sell,2,2796.0,1398.0
JSW Steel Ltd,6/11/2019,Beaufield Holdings Limited,Insider - Promoter Group,Sell,4,1096.0,274.0
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,5,14041.0,2808.2
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,5,13270.0,2654.0
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,2,4390.0,2195.0
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,2,4391.0,2195.5
Larsen & Toubro Ltd,12/4/2020,RANJAN Y TRIVEDI,Insider - Immediate Relative,Sell,2,2309.0,1154.5
Larsen & Toubro Ltd,3/12/2019,A NAVEEN KUMAR,Insider - Designated Person,Sell,2,2703.0,1351.5
Larsen & Toubro Ltd,7/26/2016,BHARGAVA MUKESH CMDR,Insider - Employee,Sell,2,3162.0,1581.0
Larsen & Toubro Ltd,9/15/2015,Hemant H Jadhav,Insider - Employee,Sell,2,3140.0,1570.0
Larsen & Toubro Ltd,9/8/2015,Hemant H Jadhav,Insider - Employee,Sell,2,3064.0,1532.0
IIFL Finance Ltd,10/7/2015,Upendra Jaiswal,Insider - Other,Sell,1,189.0,189.0
Crompton Greaves Consumer Electricals Ltd,11/11/2019,SHAJI ABRAHAM,Insider - Designated Person,Sell,1,262.0,262.0
Avenue Supermarts Ltd,7/13/2018,Ashwin Patel,Insider - Employee,Sell,1,1759.0,1759.0
Avenue Supermarts Ltd,7/16/2018,Ashwin Patel,Insider - Employee,Buy,1,1562.0,1562.0
Avenue Supermarts Ltd,7/16/2018,Ashwin Patel,Insider - Employee,Sell,1,1568.0,1568.0
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,1,1490.0,1490.0
Indusind Bank Ltd,2/12/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,1,1498.0,1498.0
Biocon Ltd,12/21/2021,INDRANIL SEN,Insider - Designated Person,Sell,2,711.0,355.5
Aurobindo Pharma Ltd,10/27/2016,Ravindranadha Reddy Meka,Insider - Employee,Sell,1,21.21,2120737.0
UNO Minda Ltd,8/30/2022,Alok Sharma,Insider - Designated Person,Sell,1,580.0,580.0
UNO Minda Ltd,11/28/2022,Sanjay Kumar Aggarwal,Insider - Designated Person,Sell,1,555.0,555.0
NCL Research and Financial Services Ltd,2/4/2022,MANSI SHARE & STOCK ADVISORS PRIVATE LIMITED,Bulk,Sell,1,2.0,2.25
NCL Research and Financial Services Ltd,12/30/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,1,1.0,1.61
NCL Research and Financial Services Ltd,2/23/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,1.0,1.54
HDFC Bank Ltd,3/23/2020,Omkar Gadekar,Insider - Designated Person,Buy,10,7710.0,771.0
HDFC Bank Ltd,1/27/2020,Sunil Maydeo,Insider - Designated Person,Buy,10,12349.0,1234.9
MPS Infotecnics Ltd,1/24/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,7,10.0,1.5
Housing Development Finance Corporation Ltd,3/15/2017,Chatterjee Sourish,Insider - Employee,Sell,3,4284.0,1428.0
Housing Development Finance Corporation Ltd,9/6/2016,Aditi Gutgutia,Insider - Employee,Sell,3,4356.0,1452.0
Housing Development Finance Corporation Ltd,3/15/2017,Supriya Bhasin,Insider - Employee,Sell,3,4268.0,1422.67
Housing Development Finance Corporation Ltd,2/6/2017,Alavani Raghunandan M,Insider - Employee,Sell,3,4230.0,1410.0
HDFC Bank Ltd,12/23/2016,Raveesh Kumar Bhatia,Insider - Employee,Buy,10,42.61,426105.0
Indian Infotech and Software Ltd,2/23/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,2,8.0,4.22
Reliance Home Finance Ltd,4/17/2020,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,1.0,1.0
Brightcom Group Ltd,6/24/2020,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,9.0,9.95
Indus Towers Ltd,3/18/2016,Prashant Veer Singh,Insider - Employee,Sell,4,19.33,483368.35
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,8,21232.0,2654.0
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,8,21240.0,2655.0
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,3,6586.0,2195.33
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,3,6585.0,2195.0
Larsen & Toubro Ltd,3/22/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,3,6657.0,2219.0
ITC Ltd,8/17/2018,LAKSHMANAN CHITTUR CHANDRASEKHARAN,Insider - Employee,Sell,28,8684.0,310.14
Bharti Airtel Ltd,2/25/2020,Rohit Relan,Insider - Designated Person,Sell,10,5333.0,533.3
ICICI Bank Ltd,11/2/2018,Vikash Sharma,Insider - Employee,Buy,14,32.92,221342.18
Virtual Global Education Ltd,1/17/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,3.0,3.2
HDFC Bank Ltd,9/7/2016,Ram C Sonar,Insider - Employee,Sell,12,14700.0,1225.0
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,4,7877.0,1969.25
Housing Development Finance Corporation Ltd,11/16/2018,PATHARE VISHAL,Insider - Employee,Sell,4,7564.0,1891.0
Housing Development Finance Corporation Ltd,5/26/2017,Shikha Khattar,Insider - Employee,Sell,4,6246.0,1561.5
Housing Development Finance Corporation Ltd,9/11/2017,Hemant Shankar Mokashi,Insider - Employee,Sell,4,7148.0,1787.0
Housing Development Finance Corporation Ltd,1/12/2017,Patel Darshan,Insider - Employee,Sell,4,4971.0,1242.75
Infosys Ltd,3/1/2021,Shaji Mathew,Insider - Designated Person,Buy,11,22811.0,2073.73
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,10,26725.0,2672.5
ITC Ltd,7/29/2016,Rajiv Bansal,Insider - Employee,Buy,32,35.92,111384.87
Greencrest Financial Services Ltd,11/22/2022,VIBRANT SECURITIES PRIVATE LIMITED,Bulk,Sell,1,2.0,2.82
Greencrest Financial Services Ltd,11/7/2022,MOHD ANEES KHAN,Bulk,Sell,1,2.0,2.35
MFL India Ltd,8/31/2021,TOPGAIN FINANCE PRIVATE LIMITED,Bulk,Buy,1,0.0,0.32
Yes Bank Ltd,6/30/2016,Kapil Bali,Insider - Director,Sell,6,6300.0,1050.0
Larsen & Toubro Ltd,7/10/2015,BHARGAVA MUKESH CMDR,Insider - Employee,Buy,4,7508.0,1877.0
Raj Rayon Industries Ltd,6/16/2020,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,1,0.0,0.3
HDFC Bank Ltd,5/24/2016,Ramchandra Sonawane,Insider - Designated Person,Sell,15,16550.0,1103.33
HDFC Bank Ltd,5/24/2016,Ashok Khanna,Insider - Designated Person,Sell,15,16650.0,1110.0
Godrej Industries Ltd,9/30/2019,TANYA DUBASH AND PIROJSHA GODREJTRUSTEES OF TAD CHILDREN TRUST,Insider - Promoter Group,Buy,1,411.0,411.0
Godrej Industries Ltd,9/30/2019,NADIR GODREJ HORMAZD GODREJ AND BURJIS GODREJ TRUSTEES OF BNG LINEAGE TRUST,Insider - Promoter Group,Buy,1,410.0,410.0
Godrej Industries Ltd,9/30/2019,PIROJSHA GODREJ AND NISABA GODREJ TRUSTEES OF PG CHILDREN TRUST,Insider - Promoter Group,Buy,1,411.0,411.0
Godrej Industries Ltd,9/30/2019,JAMSHYD GODREJPHEROZA GODREJ AND NAVROZE GODREJ TRUSTEES OF PJG FAMILY TRUST,Insider - Promoter Group,Buy,1,414.0,414.0
Godrej Industries Ltd,9/30/2019,NISABA GODREJ AND PIROJSHA GODREJ TRUSTEES OF NG CHILDREN TRUST,Insider - Promoter Group,Buy,1,411.0,411.0
Godrej Industries Ltd,9/30/2019,NADIR GODREJHORMAZD GODREJ AND RATI GODREJTRUSTEES OF RNG FAMILY TRUST,Insider - Promoter Group,Buy,1,410.0,410.0
Godrej Industries Ltd,9/30/2019,JAMSHYD GODREJ PHEROZA GODREJ AND NAVROZE GODREJ TRUSTEES OF NJG FAMILY TRUST,Insider - Promoter Group,Buy,1,414.0,414.0
Godrej Industries Ltd,9/30/2019,SMITA GODREJ CRISHNA FREYAN CRISHNA BIERI AND NYRIKA HOLKAR TRUSTEES OF FVC CHILDREN TRUST,Insider - Promoter Group,Buy,1,414.0,414.0
Godrej Industries Ltd,9/30/2019,PIROJSHA GODREJ AND NISABA GODREJTRUSTEES OF PG LINEAGE TRUST,Insider - Promoter Group,Buy,1,411.0,411.0
Godrej Industries Ltd,9/30/2019,NADIR GODREJ HORMAZD GODREJ AND RATI GODREJ TRUSTEES OF BNG SUCCESSOR TRUST,Insider - Promoter Group,Buy,1,410.0,410.0
Godrej Industries Ltd,9/30/2019,NADIR GODREJ HORMAZD GODREJ AND RATI GODREJ TRUSTEES OF SNG SUCCESSOR TRUST,Insider - Promoter Group,Buy,1,410.0,410.0
Godrej Industries Ltd,9/30/2019,SMITA GODREJ CRISHNA VIJAY MOHAN CRISHNA FREYAN CRISHNA BIERI AND NYRIKA HOLKAR TRUSTEES OF VMC FAMILY TRUST,Insider - Promoter Group,Buy,1,414.0,414.0
Godrej Industries Ltd,9/30/2019,NADIR GODREJ HORMAZD GODREJ AND SOHRAB GODREJ TRUSTEES OF SNG LINEAGE TRUST,Insider - Promoter Group,Buy,1,410.0,410.0
Godrej Industries Ltd,9/30/2019,JAMSHYD GODREJ PHEROZA GODREJ AND NAVROZE GODREJ TRUSTEES OF RJG FAMILY TRUST,Insider - Promoter Group,Buy,1,414.0,414.0
Godrej Industries Ltd,9/30/2019,SMITA GODREJ CRISHNA FREYAN CRISHNA BIERI AND NYRIKA HOLKAR TRUSTEES OF NVC CHILDREN TRUST,Insider - Promoter Group,Buy,1,414.0,414.0
Tata Consultancy Services Ltd,8/5/2021,Suresh Gopinathan Menon,Insider - Designated Person,Sell,11,36357.0,3305.18
Punj Lloyd Ltd,2/20/2019,J M GLOBAL EQUITIES PRIVATE LIMITED,Bulk,Buy,1,1.0,1.8
Housing Development Finance Corporation Ltd,8/10/2018,POOJA HEMANT SHAH,Insider - Employee,Sell,5,9900.0,1980.0
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,5,9845.0,1969.0
Housing Development Finance Corporation Ltd,11/14/2018,SOMA SUNDAR B T,Insider - Employee,Sell,5,9175.0,1835.0
Housing Development Finance Corporation Ltd,8/10/2018,POOJA HEMANT SHAH,Insider - Employee,Sell,5,9880.0,1976.0
Sel Manufacturing Company Ltd,8/11/2015,RKR INVESTMENTS SERVICES,Bulk,Buy,1,4.0,4.23
Biogen Pharmachem Industries Ltd,7/8/2021,PARESH DHIRAJLAL SHAH,Bulk,Buy,2,1.0,0.58
Zee Learn Ltd,1/7/2022,MANSI SHARES & STOCK ADVISORS PVT LTD,Bulk,Buy,1,18.0,18.5
Housing Development Finance Corporation Ltd,7/31/2017,Shashank Khare,Insider - Employee,Sell,5,8910.0,1782.0
Housing Development Finance Corporation Ltd,7/20/2017,KRISHNARAO RAMCHANDRA YADAV,Insider - Immediate Relative,Sell,5,8240.0,1648.0
Housing Development Finance Corporation Ltd,2/2/2018,Nilesh Janardan Mange,Insider - Employee,Buy,5,9544.0,1908.8
Housing Development Finance Corporation Ltd,5/30/2017,Deepika Gupta,Insider - Employee,Sell,5,7978.0,1595.6
Housing Development Finance Corporation Ltd,3/13/2018,JITENDRA SAI KOMMINENI,Insider - Employee,Sell,5,9350.0,1870.0
Crompton Greaves Consumer Electricals Ltd,11/11/2019,SHAJI ABRAHAM,Insider - Designated Person,Sell,2,518.0,259.0
Hindustan Unilever Ltd,3/30/2021,Chandrasekaran Singaravelu,Insider - Employee,Sell,7,16654.0,2379.14
GV Films Ltd,1/10/2022,MANSI SHARE & STOCK ADVISORS PRIVATE LIMITED,Bulk,Buy,3,3.0,1.26
AU Small Finance Bank Ltd,5/15/2020,Ravleen Kaur saluja,Insider - Immediate Relative,Sell,1,436.0,436.0
AU Small Finance Bank Ltd,8/25/2020,Pankaj Sharma,Insider - Designated Person,Sell,1,738.0,738.0
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,2,2980.0,1490.0
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,2,2979.0,1489.5
AU Small Finance Bank Ltd,3/18/2020,Pankaj Sharma,Insider - Designated Person,Sell,1,806.0,806.0
Bajaj Auto Ltd,2/26/2021,K S GRIHAPATHY,Insider - Designated Person,Sell,1,3906.0,3906.0
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,1,686.0,686.0
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,1,690.0,690.0
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,1,687.0,687.0
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,1,693.0,693.0
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,1,689.0,689.0
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,1,690.0,690.0
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,1,685.0,685.0
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,1,687.0,687.0
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,1,691.0,691.0
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,1,688.0,688.0
Larsen & Toubro Ltd,9/1/2022,ASOK KUMAR K,Insider - Designated Person,Sell,5,9520.0,1904.0
NCL Research and Financial Services Ltd,1/12/2022,MANSI SHARE & STOCK ADVISORS PRIVATE LIMITED,Bulk,Buy,2,4.0,2.32
ITC Ltd,7/17/2018,K.R. ARUN,Insider - Employee,Sell,45,12182.0,270.71
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,14,37148.0,2653.43
Housing Development Finance Corporation Ltd,3/28/2018,Tarun Bibra,Insider - Employee,Sell,6,10932.0,1822.0
Housing Development Finance Corporation Ltd,3/8/2018,ANILKUMAR A S,Insider - Employee,Sell,6,10800.0,1800.0
UNO Minda Ltd,9/15/2020,ARVIND KUMAR AGARWAL,Insider - Designated Person,Buy,1,250.0,250.0
UNO Minda Ltd,9/15/2020,DINESH SAINI,Insider - Designated Person,Buy,1,250.0,250.0
Housing Development Finance Corporation Ltd,9/29/2016,Vishal Shivnathrao Kuche,Insider - Employee,Sell,6,8408.0,1401.33
Vikas Proppant & Granite Ltd,1/6/2022,MANSI SHARE & STOCK ADVISORS PRIVATE LIMITED,Bulk,Sell,2,5.0,2.85
HDFC Bank Ltd,5/17/2017,Anil Verghese,Insider - Employee,Sell,20,30200.0,1510.0
Urja Global Ltd,12/18/2017,BP FINTRADE PRIVATE LIMITED,Bulk,Sell,2,7.0,3.83
Relaxo Footwears Ltd,11/30/2020,Pankaj Bhalla,Insider - Employee,Sell,1,710.0,710.0
Shalimar Productions Ltd,12/28/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,4,2.0,0.52
ITC Ltd,8/14/2018,HARIT SHROFF,Insider - Employee,Sell,50,15488.0,309.76
ITC Ltd,1/10/2019,HARIT SHROFF,Insider - Employee,Sell,50,14600.0,292.0
ITC Ltd,1/15/2019,HARIT SHROFF,Insider - Employee,Sell,50,14750.0,295.0
ITC Ltd,3/12/2019,D. JOHN ROBERT,Insider - Employee,Sell,50,14715.0,294.3
Relaxo Footwears Ltd,3/8/2019,Amit Maindola,Insider - Employee,Sell,1,754.0,754.0
Axis Bank Ltd,5/16/2016,Chanchal Bhattacharya,Insider - Employee,Buy,10,2889.0,288.96
Reliance Industries Ltd,3/1/2017,R S Bhatt,Insider - Other,Buy,25,25000.0,1000.0
Pil Italica Lifestyle Ltd,1/12/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,16.0,16.0
HCL Technologies Ltd,2/3/2016,Vineet Sood,Insider - Employee,Sell,12,10500.0,875.0
ICICI Lombard General Insurance Company Ltd,8/10/2021,SUDHANSHU WALIA,Insider - Designated Person,Sell,2,2900.0,1450.0
Housing Development Finance Corporation Ltd,3/20/2017,Nikhil Khanna,Insider - Employee,Sell,7,10171.0,1453.0
HDFC Bank Ltd,3/12/2020,Kamini Jain,Insider - Designated Person,Buy,25,25880.0,1035.2
Mahindra and Mahindra Ltd,1/24/2019,Kinnar Rathod,Insider - Employee,Sell,5,3475.0,695.0
Godrej Properties Ltd,3/28/2019,NBG Family Trust,Insider - Promoter Group,Buy,1,867.0,867.0
Godrej Properties Ltd,3/28/2019,SNG Successor Trust,Insider - Promoter Group,Buy,1,867.0,867.0
Godrej Properties Ltd,3/28/2019,SNG Lineage Trust,Insider - Promoter Group,Buy,1,867.0,867.0
Godrej Properties Ltd,3/28/2019,NJG Family Trust,Insider - Promoter Group,Buy,1,869.0,869.0
Godrej Properties Ltd,3/28/2019,ABG Family Trust,Insider - Promoter Group,Buy,1,868.0,868.0
Godrej Properties Ltd,3/28/2019,TAD Children Trust,Insider - Promoter Group,Buy,1,868.0,868.0
Godrej Properties Ltd,3/29/2019,RNG Family Trust,Insider - Promoter Group,Buy,1,826.0,826.0
Godrej Properties Ltd,3/28/2019,JNG Family Trust,Insider - Promoter Group,Buy,1,870.0,870.0
Godrej Properties Ltd,3/28/2019,FVC Children Trust,Insider - Promoter Group,Buy,1,868.0,868.0
Godrej Properties Ltd,3/29/2019,PG Children Trust,Insider - Promoter Group,Buy,1,825.0,825.0
Godrej Properties Ltd,3/28/2019,VMC Family Trust,Insider - Promoter Group,Buy,1,868.0,868.0
Godrej Properties Ltd,3/28/2019,NVC Children Trust,Insider - Promoter Group,Buy,1,868.0,868.0
Godrej Properties Ltd,3/28/2019,NG Children Trust,Insider - Promoter Group,Buy,1,868.0,868.0
Godrej Properties Ltd,3/28/2019,PG Lineage Trust,Insider - Promoter Group,Buy,1,867.0,867.0
Godrej Properties Ltd,3/28/2019,PJG Family Trust,Insider - Promoter Group,Buy,1,870.0,870.0
Godrej Properties Ltd,3/28/2019,BNG Successor Trust,Insider - Promoter Group,Buy,1,868.0,868.0
Godrej Properties Ltd,3/28/2019,BNG Lineage Trust,Insider - Promoter Group,Buy,1,868.0,868.0
Godrej Properties Ltd,3/28/2019,RJG Family Trust,Insider - Promoter Group,Buy,1,868.0,868.0
